track_id,total_playlist
6602768,153
1936946,153
3574464,11929
1406287,13465
4053069,410
6145430,1434
2939499,1690
3509026,3226
6744187,411
1266830,1947
2616615,2715
1197669,2971
3153550,3995
3347693,8347
3331159,9115
6554843,16283
5223297,34971
4141537,412
7166872,924
2578085,1948
5073649,2460
1840761,2972
7921549,4252
2153574,925
7264781,1181
7120733,4253
4096612,13981
6316146,43677
4967469,670
3559931,1182
4738813,1182
0:00,5279
1839223,13727
5615333,62623
6063105,160
8262356,928
2775772,1696
5459112,1952
6485441,2208
5400474,417
2415106,3745
7384134,6305
1771212,930
7271843,12962
4518298,2211
8013969,2467
2362023,8099
2302386,9123
4389214,164
1740150,164
5442505,1444
4012549,1444
6590514,1956
2023156,18340
7811952,27556
3555344,677
1769305,678
5810373,2470
4978027,935
4576591,935
2038144,1191
5555264,4007
5972088,168
1696728,936
2341529,1192
3647986,1704
7807270,2216
1322961,4776
5279142,1193
3833877,1449
6950436,1961
7697062,2217
6549461,2473
4666772,5289
6181977,7337
5086845,938
7122267,1450
8399372,8106
4467778,9130
8502696,32426
3181974,37290
5602322,683
7996425,683
1214913,428
7432867,1196
2542321,4780
1774478,10924
1486311,25516
6766942,38316
4004325,173
1534505,173
4764570,1197
3635714,1197
4727736,4269
5282587,2478
6046483,1199
4604858,4783
4002890,8111
2237089,42159
6593931,944
1992045,2480
3885692,1713
6778924,2225
6429519,4785
7224008,23729
8134740,5042
8476304,1715
2598352,1971
3210546,2483
4974042,4275
2407166,948
5563881,1204
4703367,1972
6698200,6068
3143453,693
3814674,693
2320654,2741
1899106,4789
4801316,1206
6509365,2998
6675451,695
6577689,951
3252628,2487
7270435,1976
3747351,185
1633830,697
6044216,697
6193307,1977
1671724,2745
7699876,7353
6953068,186
3434265,954
4487193,954
3369956,1978
5897675,3514
6882173,443
7243247,699
8186517,4795
1001428,9659
1014962,10683
6801500,188
3341212,3260
2841488,445
3371670,3005
1346774,5309
4181228,22205
8744804,1214
4238748,8638
8471839,1727
7158907,704
3775590,1216
5848183,1216
7885122,5568
6966778,6848
3894522,7104
8897005,21952
4552573,31936
1050544,3777
5737293,8897
5229182,194
5617904,1474
8455676,18882
7349725,451
5158640,963
3132809,963
2352439,2243
4495422,3523
4342968,5571
1936158,8387
4823840,452
3595953,708
2102834,1476
4890110,3780
7691321,453
6116514,709
5495832,1221
2434062,6597
6163158,9157
1961503,12997
6403499,1222
6575753,3782
1024668,6598
7256696,28614
6321372,1991
7783887,3527
2121928,1736
1218742,2760
3365981,9928
7662572,13256
6436155,203
2708944,715
5337859,2763
4826716,16331
3108040,204
2678616,716
1297061,717
1710471,717
5865058,718
4335470,974
3186172,1486
5374189,3790
6640464,719
8365464,719
3154799,1487
3746522,208
3070266,976
6339593,1232
7502400,1488
3448376,7632
2020928,20688
7662363,721
2853933,1233
2264316,1233
8990379,3537
1027228,3537
4669801,6097
7159285,8913
2084763,210
6380084,27858
5095829,467
2773298,2771
8056641,3027
4528930,3027
1493023,3539
2602763,7123
4944285,8915
5324238,21459
7700274,212
1121286,468
6348243,724
5999455,24532
3739768,469
3895305,1237
5191929,1237
2770990,2773
7368008,7893
2634614,10197
8917301,726
5350195,982
2484929,1238
2079388,6871
6554322,1240
8507943,2008
8096695,3800
8189388,21720
6402604,985
2808274,985
1928790,47321
6083108,730
1967014,16090
2489568,3291
8965193,44507
3381390,220
1203746,14044
4487095,477
5152397,2525
3276282,4317
4277985,6877
8121763,10205
3827571,25309
6161550,478
7143216,990
2643038,1246
3512881,3038
3921634,11998
5554493,223
3355993,735
2838411,7135
4458161,9695
6619922,224
7016313,480
4214662,480
4782067,2016
6373026,2784
6390690,2784
8555295,4832
2767209,6880
4265182,481
8024591,481
7556948,1505
5355322,2273
5673293,2529
3378211,14305
6130665,994
2061546,3810
1519987,6882
4991676,995
5560446,2019
4662762,2531
2226206,2531
2061482,5603
4365318,15331
8895699,17635
1717593,228
7717973,996
3872585,2020
1193878,229
2733163,1765
1130135,1510
6250958,16614
4490744,28134
2503884,743
3464535,4583
4064553,488
1593131,744
8756692,744
8956923,2280
4386478,3304
5409588,4072
8580552,30184
1386595,1769
2296238,2025
1471634,4073
3612400,8681
8987545,6378
2052397,9706
2150360,235
8725160,2795
4069645,3819
2685773,8171
3891081,14827
3333614,37355
2645476,236
1663974,25068
8033263,1261
8689972,1518
2762640,1774
6347306,2030
7853001,3822
4439384,5102
2023447,2287
3608552,5359
4162862,6127
3867590,9455
5168392,1264
1111875,1520
1828042,6384
3301347,1777
6230777,3569
1621586,4081
6599493,5617
8213022,8945
2969661,28657
5615912,498
2969049,1266
8290102,3570
6556428,7410
2636311,8434
4557678,243
5283123,1523
7526938,3571
1041777,4595
8797570,22515
4635311,1780
3984533,501
6791135,1013
8803071,2293
1647722,6645
6775509,10741
5477581,758
7989475,1270
2797126,1526
8292846,503
5106082,3575
1904373,9975
8123858,1016
4322356,1016
5675634,3576
4130067,5368
5476124,6904
2143818,30968
6286315,2553
1386091,2809
1539892,250
4343383,506
2927588,6394
2744235,7418
6900582,10490
2285737,40698
7429862,2043
2835063,2299
5085460,5115
6984128,13051
4824782,2300
5586506,3068
5624903,5372
8262886,13820
5415405,16636
8457557,1021
6107475,1533
5154676,3326
4586215,6910
6327262,7934
5165382,13310
7423770,1023
2391919,22015
